age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry

27,5,12,10,4,11,0,4,1,0,0,40,38

20,5,9,10,2,7,1,2,0,0,0,50,38
61,3,11,9,0,14,4,1,0,0,0,40,38
34,4,15,10,2,14,1,4,1,0,0,60,10
44,3,15,13,2,7,3,4,1,0,0,45,38
73,3,11,9,4,3,1,4,1,0,0,40,38
29,1,11,7,2,10,1,1,1,0,0,40,38
41,3,11,10,2,7,1,4,1,0,0,43,38
47,3,12,9,2,11,0,4,1,0,0,30,8
38,3,9,13,2,12,1,4,0,0,0,40,38
43,7,9,14,4,12,1,4,1,0,0,35,38
21,3,11,9,4,11,1,4,1,0,0,40,38
58,1,9,9,0,6,2,4,0,0,0,40,38
52,3,15,9,4,0,3,2,0,0,0,40,38
28,3,11,9,2,14,0,4,0,0,0,40,38
43,3,14,13,4,11,3,4,1,0,0,52,38
22,3,11,9,2,3,3,4,1,0,0,35,38
26,6,4,9,4,3,0,4,1,0,0,38,38
56,3,8,9,5,7,0,2,0,0,0,50,38
37,3,15,10,2,11,4,4,1,0,0,40,38
28,3,15,10,5,6,3,2,1,0,0,75,38
30,3,11,15,4,14,0,4,1,0,1876,32,38
65,3,6,15,0,7,4,4,0,0,0,40,38
70,3,15,13,2,2,4,4,1,0,0,10,21
65,6,8,10,2,0,0,4,1,0,0,55,38
33,3,9,9,2,11,4,4,1,0,0,40,38
40,3,9,9,2,2,3,4,0,0,0,40,38
46,3,15,9,4,9,3,4,1,0,0,46,38
35,3,15,10,4,3,0,4,0,0,0,50,38
56,3,12,10,0,7,3,4,0,0,0,40,38
65,3,9,12,2,12,1,4,0,0,0,60,38
33,3,11,12,2,12,0,4,1,0,0,43,38
64,7,15,10,2,7,0,4,1,0,0,40,38
31,3,11,13,6,10,1,4,1,0,2339,40,38
32,3,9,9,4,11,1,4,1,0,0,40,38
61,3,11,10,0,10,5,2,1,1151,0,40,1
30,3,11,14,0,3,0,4,0,0,0,40,38
55,3,15,5,4,13,5,4,0,27828,2042,40,38
32,3,15,9,4,0,4,1,1,0,0,42,38
20,3,15,10,2,11,0,4,1,0,0,37,38
35,3,15,9,2,6,3,4,0,0,0,35,38
20,3,11,14,2,3,1,2,1,0,0,40,38
32,3,11,13,4,7,5,4,1,0,0,75,38
19,1,15,10,0,9,1,4,0,0,0,40,38
58,3,11,16,0,11,5,4,0,0,1887,12,38
28,3,6,9,2,5,1,2,1,0,0,40,38
38,3,11,9,0,6,4,4,1,0,3004,40,38
24,0,11,10,4,9,1,4,1,0,0,40,38
27,0,11,9,2,11,1,4,0,0,0,60,38
